Time [s],Packet ID,MOSI,MISO
4.52915475,13828,0xD,0x0
4.53013825,13829,0xD,0x0
4.53114325,13830,0xA,0x0
4.53116375,13831,0x0,0x0
4.5311785,13831,0xF,0x0
4.53119525,13831,0x3,0x0
4.53120975,13831,0x8,0x0
4.53122925,13832,0xD,0x0
4.53221225,13833,0xD,0x0
4.533196,13834,0xA,0x0
4.53321675,13835,0x0,0x0
4.5332315,13835,0xF,0x0
4.53324825,13835,0x8,0x0
4.533263,13835,0x8,0x0
4.53328275,13836,0xD,0x0
4.53426625,13837,0xD,0x0
4.53527175,13838,0xA,0x0
4.535292,13839,0x0,0x0
4.53530675,13839,0xF,0x0
4.53532375,13839,0x3,0x0
4.535338,13839,0x8,0x0
4.53535775,13840,0xD,0x0
4.53634025,13841,0xD,0x0
4.537324,13842,0xA,0x0
4.537345,13843,0x0,0x0
4.53735975,13843,0xF,0x0
4.5373765,13843,0x8,0x0
4.53739125,13843,0x8,0x0
4.537411,13844,0xD,0x0
4.538394,13845,0xD,0x0
4.53939,13846,0xA,0x0
4.53940825,13847,0xE,0x0
4.53942675,13848,0x0,0x0
4.53944175,13848,0x5,0x0
4.5394585,13848,0xA,0x0
4.53947325,13848,0x5,0x0
4.5394905,13848,0xF,0x0
4.53950475,13848,0x6,0x0
4.539522,13848,0x0,0x0
4.539537,13848,0x0,0x0
4.5395605,13848,0x7,0x0
4.5395745,13848,0xD,0x0
4.53959525,13848,0x7,0x0
4.53960925,13848,0x9,0x0
4.5396305,13848,0x0,0x0
4.5396455,13848,0x0,0x0
4.53966675,13848,0xF,0x0
4.539681,13848,0x0,0x0
4.53969875,13848,0x5,0x0
4.53971325,13848,0x5,0x0
4.5397435,13849,0xA,0x0
4.53976375,13850,0x0,0x0
4.53977875,13850,0xF,0x0
4.5397955,13850,0x3,0x0
4.53980975,13850,0x8,0x0
4.5398295,13851,0xD,0x0
4.54081275,13852,0xD,0x0
4.5417955,13853,0xA,0x0
4.5418165,13854,0x0,0x0
4.54183125,13854,0xF,0x0
4.541848,13854,0x8,0x0
4.54186275,13854,0x8,0x0
4.54188225,13855,0xD,0x0
4.54286525,13856,0xD,0x0
4.543885,13857,0xA,0x0
4.5439055,13858,0x0,0x0
4.54392025,13858,0xF,0x0
4.54393725,13858,0x3,0x0
4.5439515,13858,0x8,0x0
4.543971,13859,0xD,0x0
4.54495425,13860,0xD,0x0
4.54593775,13861,0xA,0x0
4.5459585,13862,0x0,0x0
4.5459735,13862,0xF,0x0
4.54599,13862,0x8,0x0
4.54600475,13862,0x8,0x0
4.5460245,13863,0xD,0x0
4.547008,13864,0xD,0x0
4.54801275,13865,0xA,0x0
4.54803325,13866,0x0,0x0
4.548048,13866,0xF,0x0
4.548065,13866,0x3,0x0
4.54807925,13866,0x8,0x0
4.54809875,13867,0xD,0x0
4.54908125,13868,0xD,0x0
4.5500645,13869,0xA,0x0
4.5500855,13870,0x0,0x0
4.55010025,13870,0xF,0x0
4.550117,13870,0x8,0x0
4.55013175,13870,0x8,0x0
4.5501515,13871,0xD,0x0
4.55113475,13872,0xD,0x0
4.55214025,13873,0xA,0x0
4.5521605,13874,0x0,0x0
4.5521755,13874,0xF,0x0
4.55219225,13874,0x3,0x0
4.5522065,13874,0x8,0x0
4.55222625,13875,0xD,0x0
4.5532095,13876,0xD,0x0
4.554193,13877,0xA,0x0
4.55421375,13878,0x0,0x0
4.5542285,13878,0xF,0x0
4.55424525,13878,0x8,0x0
4.55426,13878,0x8,0x0
4.55427975,13879,0xD,0x0
4.555263,13880,0xD,0x0
4.55626875,13881,0xA,0x0
4.55628925,13882,0x0,0x0
4.556304,13882,0xF,0x0
4.55632075,13882,0x3,0x0
4.55633525,13882,0x8,0x0
4.55635475,13883,0xD,0x0
4.55733725,13884,0xD,0x0
4.55832075,13885,0xA,0x0
4.5583415,13886,0x0,0x0
4.5583565,13886,0xF,0x0
4.558373,13886,0x8,0x0
4.55838775,13886,0x8,0x0
4.5584075,13887,0xD,0x0
4.559391,13888,0xD,0x0
4.56038675,13889,0xA,0x0
4.560405,13890,0xE,0x0
4.56042325,13891,0x0,0x0
4.5604385,13891,0x5,0x0
4.56045525,13891,0xA,0x0
4.56047025,13891,0x5,0x0
4.56048725,13891,0xF,0x0
4.5605015,13891,0x6,0x0
4.560519,13891,0x0,0x0
4.560534,13891,0x0,0x0
4.5605575,13891,0x7,0x0
4.5605715,13891,0xD,0x0
4.5605925,13891,0x7,0x0
4.5606065,13891,0x9,0x0
4.5606275,13891,0x0,0x0
4.56064275,13891,0x0,0x0
4.560664,13891,0xF,0x0
4.5606785,13891,0x0,0x0
4.560696,13891,0x5,0x0
4.5607105,13891,0x5,0x0
4.560741,13892,0xA,0x0
4.5607615,13893,0x0,0x0
4.56077625,13893,0xF,0x0
4.560793,13893,0x3,0x0
4.5608075,13893,0x8,0x0
4.560827,13894,0xD,0x0
4.56181075,13895,0xD,0x0
4.5627935,13896,0xA,0x0
4.56281425,13897,0x0,0x0
4.56282925,13897,0xF,0x0
4.56284575,13897,0x8,0x0
4.5628605,13897,0x8,0x0
4.56288025,13898,0xD,0x0
4.56386325,13899,0xD,0x0
4.564883,13900,0xA,0x0
4.5649035,13901,0x0,0x0
4.56491825,13901,0xF,0x0
4.56493525,13901,0x3,0x0
4.5649495,13901,0x8,0x0
4.564969,13902,0xD,0x0
4.56595225,13903,0xD,0x0
4.5669355,13904,0xA,0x0
4.56695625,13905,0x0,0x0
4.56697125,13905,0xF,0x0
4.56698775,13905,0x8,0x0
4.5670025,13905,0x8,0x0
4.56702225,13906,0xD,0x0
4.568005,13907,0xD,0x0
4.56900975,13908,0xA,0x0
4.56903,13909,0x0,0x0
4.569045,13909,0xF,0x0
4.56906175,13909,0x3,0x0
4.56907625,13909,0x8,0x0
4.56909575,13910,0xD,0x0
4.57007975,13911,0xD,0x0
4.57106275,13912,0xA,0x0
4.5710835,13913,0x0,0x0
4.57109825,13913,0xF,0x0
